Query Set,Context Threshold,Nano Latency (ms),Nano Energy (mJ),Nano Avg Power (W),Nano Tokens Generated,Orin Latency (ms),Orin Energy (mJ),Orin Avg Power (W),Orin Tokens Generated

general_knowledge,100,922192,1345874,1.459,986,176046,1644241,9.34,4361
general_knowledge,200,290973,1830736,6.292,380,184006,1736885,9.439,4639
general_knowledge,400,548406,3303183,6.023,607,171105,1604455,9.377,4263
general_knowledge,800,1196436,7230092,6.043,899,169729,1594005,9.391,4212
general_knowledge,1200,1609754,9601335,5.964,1355,214904,1748856,8.138,4290
general_knowledge,1800,2556902,15402486,6.024,2193,172220,1614421,9.374,4179
general_knowledge,2400,6737506,40394072,5.995,2491,114366,1058151,9.252,2720
general_knowledge,3200,6129738,46399902,7.57,4289,136225,2114446,15.522,3252
general_knowledge,4000,11042438,67895647,6.149,3773,30093,255245,8.482,618

technical_coding,200,581866,3427516,5.891,745,252292,2381899,9.441,6377
technical_coding,400,517193,3229414,6.244,713,237721,2261583,9.514,6014
technical_coding,800,1595721,10056844,6.302,1459,240029,2277000,9.486,6002
technical_coding,1200,1036499,6260675,6.04,1292,237812,2252147,9.47,5841
technical_coding,1800,2783245,16835112,6.049,2195,206085,1936017,9.394,5145
technical_coding,2400,3429583,20852509,6.08,2663,203320,1926477,9.475,5045
technical_coding,3200,7407256,47247232,6.379,5868,215102,2040646,9.487,5346
technical_coding,4000,7396498,46358803,6.268,4221,137517,1278948,9.3,3311

personal_health,200,494442,2934101,5.934,582,241699,2112024,8.738,5306
personal_health,400,486742,3066375,6.3,633,242626,2153989,8.878,5437
personal_health,800,1018302,6385118,6.27,788,314968,3133765,9.949,5118
personal_health,1200,1722613,10481512,6.085,1222,212347,1999819,9.418,5170
personal_health,1800,2962176,18461833,6.233,1957,191250,1791673,9.368,4615
personal_health,2400,4415607,28238890,6.395,3876,194326,1815113,9.341,4661
personal_health,3200,5327247,33830950,6.351,3592,183508,1716726,9.355,4404
personal_health,4000,7158882,45443980,6.348,4931,187558,1766281,9.417,4596
